Device Name,Date (dd/mm/yyyy),Time (24hrs),Average RMS Current (A),Peak RMS Current (A)
MCMD 01,8/2/2021,14:38:00,95,156
MCMD 01,8/2/2021,14:38:01,95,156
MCMD 01,8/2/2021,14:38:02,95,156
MCMD 01,8/2/2021,14:38:03,95,156
MCMD 01,8/2/2021,14:38:04,95,156
MCMD 01,8/2/2021,14:38:05,95,156
MCMD 01,8/2/2021,14:38:06,95,156
MCMD 01,8/2/2021,14:38:07,95,156
MCMD 01,8/2/2021,14:38:08,95,156
MCMD 01,8/2/2021,14:38:09,95,156
MCMD 01,8/2/2021,14:38:10,95,156
MCMD 01,8/2/2021,14:38:11,95,156
MCMD 01,8/2/2021,14:38:12,95,156
MCMD 01,8/2/2021,14:38:13,95,156
MCMD 01,8/2/2021,14:38:14,95,156
MCMD 01,8/2/2021,14:38:15,95,156
MCMD 01,8/2/2021,14:38:16,95,156
MCMD 01,8/2/2021,14:38:17,95,156
MCMD 01,8/2/2021,14:38:18,95,156
MCMD 01,8/2/2021,14:38:19,95,156
MCMD 01,8/2/2021,14:38:20,95,156
MCMD 01,8/2/2021,14:38:21,95,156
MCMD 01,8/2/2021,14:38:22,95,156
MCMD 01,8/2/2021,14:38:23,95,156
MCMD 01,8/2/2021,14:38:24,95,156
MCMD 01,8/2/2021,14:38:26,95,156
MCMD 01,8/2/2021,14:38:27,95,156
MCMD 01,8/2/2021,14:38:28,95,156
MCMD 01,8/2/2021,14:38:29,95,156
MCMD 01,8/2/2021,14:38:30,95,156
MCMD 01,8/2/2021,14:38:31,95,156
MCMD 01,8/2/2021,14:38:32,95,156
MCMD 01,8/2/2021,14:38:33,95,156
MCMD 01,8/2/2021,14:38:34,95,156
MCMD 01,8/2/2021,14:38:35,95,156
MCMD 01,8/2/2021,14:38:36,95,156
MCMD 01,8/2/2021,14:38:37,95,156
MCMD 01,8/2/2021,14:38:38,95,156
MCMD 01,8/2/2021,14:38:39,95,156
MCMD 01,8/2/2021,14:38:40,95,156
MCMD 01,8/2/2021,14:38:41,95,156
MCMD 01,8/2/2021,14:38:42,95,156
MCMD 01,8/2/2021,14:38:43,95,156
MCMD 01,8/2/2021,14:38:44,95,156
MCMD 01,8/2/2021,14:38:45,95,156
MCMD 01,8/2/2021,14:38:46,95,156
MCMD 01,8/2/2021,14:38:47,95,156
MCMD 01,8/2/2021,14:38:48,95,156
MCMD 01,8/2/2021,14:38:49,95,156
MCMD 01,8/2/2021,14:38:50,95,156
MCMD 01,8/2/2021,14:38:51,95,156
MCMD 01,8/2/2021,14:38:52,95,156
MCMD 01,8/2/2021,14:38:53,95,156
MCMD 01,8/2/2021,14:38:54,95,156
MCMD 01,8/2/2021,14:38:55,95,156
MCMD 01,8/2/2021,14:38:56,95,156
MCMD 01,8/2/2021,14:38:57,95,156
MCMD 01,8/2/2021,14:38:58,95,156
MCMD 01,8/2/2021,14:38:59,95,156
MCMD 01,8/2/2021,14:39:00,95,156
MCMD 01,8/2/2021,14:39:01,95,156
MCMD 01,8/2/2021,14:39:02,95,156
MCMD 01,8/2/2021,14:39:03,95,156
MCMD 01,8/2/2021,14:39:04,95,156
MCMD 01,8/2/2021,14:39:05,95,156
MCMD 01,8/2/2021,14:39:06,95,156
MCMD 01,8/2/2021,14:39:07,95,156
MCMD 01,8/2/2021,14:39:08,95,156
MCMD 01,8/2/2021,14:39:09,95,156
MCMD 01,8/2/2021,14:39:10,95,156
MCMD 01,8/2/2021,14:39:11,95,156
MCMD 01,8/2/2021,14:39:12,95,156
MCMD 01,8/2/2021,14:39:13,95,156
MCMD 01,8/2/2021,14:39:14,95,156
MCMD 01,8/2/2021,14:39:15,95,156
MCMD 01,8/2/2021,14:39:16,95,156
MCMD 01,8/2/2021,14:39:17,95,156
MCMD 01,8/2/2021,14:39:18,95,156
